"Mã","Chỉ tiêu","Nhóm","Điểm tối đa","Tự đánh giá","Thẩm định","Chênh lệch","Trạng thái","Phụ trách","Hạn xử lý","Minh chứng/Ghi chú"
"4.22.1","Triển khai thực hiện nhiệm vụ được giao theo các Kế hoạch giai đoạn 2026-2030 của tỉnh:
- Kế hoạch hành động phát triển Chính quyền số trên địa bàn tỉnh Tây Ninh giai đoạn 2026-2030;
- Kế hoạch phát triển kinh tế số và xã hội số giai đoạn 2026 -2030
- Kế hoạch thực hiện chuyển đổi số trên địa bàn tỉnh Tây Ninh giai đoạn 2026 -2030","Hoạt động chính quyền số","20","20","19.5","0.50","Cần bổ sung minh chứng","","","* Thành viên thẩm định: Không thống nhất tiêu chí: . Giải trình: Nhập nội dung không thống nhất"
"4.22.2","Triển khai thực hiện nhiệm vụ được giao theo Kế hoạch chuyển đổi số của tỉnh hàng năm","Hoạt động chính quyền số","20","20","20","0.00","Hoàn thành","","","* Thành viên thẩm định: Thống nhất tiêu chí:Năm 2025. KH thực hiện CĐS và phát triển chính quyền số được thực hiện thông qua KH 1039/KH-UBND. Địa phương có ban hành Kh triển khai thực hiện KH 1039"
"4.22.3","Triển khai thực hiện nhiệm vụ được giao theo Kế hoạch  phát triển chính quyền số của tỉnh hàng năm","Hoạt động chính quyền số","20","20","10","10.00","Cần bổ sung minh chứng","","","* Thành viên thẩm định: Thống nhất tiêu chí:Năm 2025. KH thực hiện CĐS và phát triển chính quyền số được thực hiện thông qua KH 1039/KH-UBND. Địa phương có ban hành Kh triển khai thực hiện KH 1039"
"4.22.4","Triển khai thực hiện nhiệm vụ được giao theo Kế hoạch phát triển kinh tế số và xã hội số hàng năm","Hoạt động chính quyền số","20","20","0","20.00","Cần bổ sung minh chứng","","",""
"4.22.5","Triển khai thực hiện nhiệm vụ truyền thông, phổ biến, nâng cao nhận thức về phát triển khoa học, công nghệ, đổi mới sáng tạo và chuyển đổi số trên báo chí, truyền thông, hệ thống thông tin cơ sở, truyền thông xã hội, mạng xã hội, nền tảng số và phương thức khác hàng năm","Hoạt động chính quyền số","20","20","0","20.00","Cần bổ sung minh chứng","","",""
"4.22.6","Xây dựng và triển khai kế hoạch của địa phương để hỗ trợ, hướng dẫn người dân trong chuyển đổi số","Hoạt động chính quyền số","20","20","20","0.00","Hoàn thành","","","*       2046 /GM-UBND - 07/11/2025: Dự Lễ ra quân triển khai mô hình “chợ 4.0” tại chợ CầnGiuộc
*1342/TN-PVHXH - 20/10/2025: Tổ chức hoạt động tổ CNSCĐ hưởng ứng ngày chuyển đổi số 10/10"
"4.22.7","Bán hành kế hoạch chuyển đổi số bám sát yêu cầu, nhiệm vụ kế hoạch của UBND tỉnh giao","Hoạt động chính quyền số","20","20","20","0.00","Hoàn thành","","","* Thành viên thẩm định: Thống nhất tiêu chí:"
"4.22.8","Kết quả thực hiện kế hoạch chuyển đổi số","Hoạt động chính quyền số","20","20","0","20.00","Cần bổ sung minh chứng","","","*2750/KH-UBND - 18/12/2025: 
Tổ chức Hội nghị tổng kết thực hiện công tác Chuyển đổi số trên địa bàn Cần Giuộc năm 2025
*249/UBND-VHXH - 24/07/2025: 
V/v hướng dẫn thực hiện một số nội dung tuyên truyền chuyển đổi số trên địa bàn xã trong năm 2025"
"4.22.9","Ban hành quy chế khai thác các nền tảng số, cơ sở dữ liệu chuyên ngành","Hoạt động chính quyền số","20","20","0","20.00","Cần bổ sung minh chứng","","",""
"4.22.10","Tuyên truyền chuyển đổi số tại địa phương","Hoạt động chính quyền số","30","26","26","0.00","Đang thực hiện","","","* 249/UBND-VHXH - 24/07/2025: V/v hướng dẫn thực hiện một số nội dung tuyên truyền chuyển đổi số trên địa bàn xã trong năm 2025"
"4.22.11","Triển khai hoạt động hưởng ứng ngày chuyển đổi số quốc gia","Hoạt động chính quyền số","20","20","0","20.00","Cần bổ sung minh chứng","","","* 1578/KH-UBND - 09/10/2025: KẾ HOẠCH Tổ chức các hoạt động hưởng ứng Ngày Chuyển đổi số quốc gia trên địa bàn xã Cần Giuộc năm 2025
* 1632/KH-UBND - 14/10/2025: Tổ chức các hoạt động hưởng ứng Ngày Chuyển đổi số quốc gia năm 2025 của Ngành giáo dục và Đào tạo"
"5.1","Tỷ trọng kinh tế số trong GRDP","Hoạt động Kinh tế số","20","20","20","0.00","Hoàn thành","","",""
"5.2","Tỷ lệ doanh nghiệp công nghệ số/1000 dân","Hoạt động Kinh tế số","20","20","20","0.00","Hoàn thành","","",""
"5.3","Tỷ trọng thương mại điện tử trong tổng mức bán lẻ","Hoạt động Kinh tế số","20","20","20","0.00","Hoàn thành","","",""
"5.4","Tỷ lệ doanh nghiệp sử dụng hợp đồng điện tử ","Hoạt động Kinh tế số","20","20","20","0.00","Hoàn thành","","",""
"6.1","Tỷ lệ người dân từ 14 tuổi trở lên có tài khoản danh tính điện tử sử dụng được cho các giao dịch điện tử","Hoạt động Xã hội số","10","9.64","0","9.64","Cần bổ sung minh chứng","","","*808/CAX - 05/06/2026: V/v báo cáo đánh giá mức độ
chuyển đổi số trên địa bàn xã"
"6.2","Tỷ lệ dân số từ 15 tuổi trở lên có tài khoản thanh toán trực tuyến tại ngân hàng hoặc tổ chức được phép khác ","Hoạt động Xã hội số","10","4","10","-6.00","Đang thực hiện","","",""
"6.3","Tỷ lệ dân số trưởng thành từ 18 tuổi trở lên có chữ ký số hoặc chữ ký điện tử cá nhân","Hoạt động Xã hội số","10","1.02","0","1.02","Cần bổ sung minh chứng","","","*04/03/2026 - 04/03/2026: V/v thông tin số liệu phục vụ đánh giá mức độ
chuyển đổi số DTI các địa phương năm 2025
và đề xuất lịch tham vấn."
"6.4","Tỷ lệ người dân có Sổ sức khỏe điện tử","Hoạt động Xã hội số","10","7.1","0","7.10","Cần bổ sung minh chứng","","","*117/BC-TYT - 04/06/2026: Về việc thống kê dân cư và hồ sơ sức khỏe điện tử theo đề án 06"
"6.5","Tỷ lệ người dân biết kỹ năng về công nghệ thông tin và truyền thông","Hoạt động Xã hội số","10","5.98","0","5.98","Cần bổ sung minh chứng","","","*2121/TNH-TH - 04/03/2026: V/v thông tin số liệu phục vụ đánh giá mức độ
chuyển đổi số DTI các địa phương năm 2025
và đề xuất lịch tham vấn."
"6.6","Tỷ lệ phản ánh, kiến nghị đã giải quyết đúng hạn trên hệ thống 1022","Hoạt động Xã hội số","10","10","5.43","4.57","Cần bổ sung minh chứng","","",""
"6.7","Tỷ lệ mức độ hài lòng về phản ánh kiến nghị  trên hệ thống 1022","Hoạt động Xã hội số","10","6.35","10","-3.65","Đang thực hiện","","",""
"6.8","Tổ dân phố trên địa bàn xã có nhóm hoặc diễn đàn số được sử dụng để chia sẻ, trao đổi thông tin giữa cán bộ, công chức và người dân","Hoạt động Xã hội số","10","10","0","10.00","Cần bổ sung minh chứng","","","*466/QĐ- UBND - 14/08/2025: Thành lập tổ CNSCĐ"
